Sentiment,L1 Cluster ID,L1 Cluster,L1 Phrase Count,L1 Review Count,L1 Rating (Phrase),L1 Rating (Review),L2 Cluster ID,L2 Cluster,L2 Phrase Count,L2 Review Count,L2 Rating (Phrase),L2 Rating (Review),L3 Cluster ID,L3 Cluster,L3 Cluster Phrase,L3 Phrase Count,L3 Review Count,L3 Rating (Review),L3 Rating (Phrase),L4 ID,L4 Phrases,Review ID,Review Rating,Date,Flag,Review,sim
Positive,P4L1I1,Product,1048,1012,4.457061069,4.458003953,P4L2I10,Skin_type,331,322,4.486404834,4.48447205,P4L3I59,dry skin,ery dry skin,120,117,4.384615385,4.366666667,P4L4I17,dry skin,P4R1,1,2022-11-18 00:00:00,P+,"Disastrous formula change.

I've been using this FAB cream for almost a decade. I have spent thousands of dollars on just this one cream - I've got a whole family with sensitive skin and we live in an area with very harsh winters. We've bought uncounted tubes and tubs of this stuff (as well as now-discontinued fragrances, rip coconut lime). This used to be the absolute best cream you could buy for a variety of concerns - dry skin, acne, eczema, flakiness, EVERYTHING. The scent was pleasant and the texture, once it sunk in, left your skin actually soft but never greasy and weird. Holy Grail, totally deserving of every accolade it received. 

Welp. Over the last year that's almost all changed. The fragrance is more or less the same, but I suddenly noticed my hands and face weren't staying as nice as they used to. My family agrees: the cream isn't soothing eczema or flakiness anymore, nor helping prevent dryness. The texture is no longer thick and luscious but feels watery and insubstantial when applied. Once it's rubbed in, skin now seems mildly tacky, not soft or moisturized. Any sensation of moisture wears off quickly. 

I can't tell what they've done to the formula besides the addition of eucalyptus, but it is a catastrophic change. This product used to be five stars, now it's one. A pump bottle of any drugstore brand with oatmeal will serve you much better. I also want to note they have raised the price on the 8oz tube by TWELVE DOLLARS over the last six years - and I'd still be willing to pay if it wasn't worse than a drugstore product. But as it stands I'm heartbroken. Don't waste your money.",4
Positive,P4L1I1,Product,1048,1012,4.457061069,4.458003953,P4L2I10,Skin_type,331,322,4.486404834,4.48447205,P4L3I59,dry skin,ery dry skin,120,117,4.384615385,4.366666667,P4L4I1183,ery dry skin,P4R321,5,2021-05-26 00:00:00,P+,"No regrets

AMAZING. I have very dry skin in the winter and this magical repair cream works wonders. It creates a nice shield that locks in moisture and keeps my skin hydrated all day. My boyfriend even uses it! He gets a rash on the back of his neck that gets irritated and red and when he puts this cream on all the redness goes away. I will use this product for the rest of my life! My favorite first aid beauty product hands down.",0
Positive,P4L1I1,Product,1048,1012,4.457061069,4.458003953,P4L2I10,Skin_type,331,322,4.486404834,4.48447205,P4L3I59,dry skin,ery dry skin,120,117,4.384615385,4.366666667,P4L4I127,very dry skin,P4R46,5,2022-07-19 00:00:00,P+,"my holy grail

I have to say, I love FAB products! I’ve tried a lot (more on the dry skin range) and everything has been great. This is my holy grail moisturizer. I would say it’s slightly on the heavy side, but not unusable for normal or combo skin. I have been buying this for years. I typically add squalane and Marula to it. It’s really amazing and calming for my very dry skin. Haven’t had any issues with it. And a decent price for what it is and how much you can get. One of the rare items I have bought ten times.",1
Positive,P4L1I1,Product,1048,1012,4.457061069,4.458003953,P4L2I10,Skin_type,331,322,4.486404834,4.48447205,P4L3I59,dry skin,ery dry skin,120,117,4.384615385,4.366666667,P4L4I127,very dry skin,P4R207,2,2021-12-28 00:00:00,P+,"I DONT UNDERSTAND. THIS IS MAGIC

i never really write reviews but THIS STUFF IS AMAZING. i have heard great things about this product but i was NOT expecting this cream to literally make my jaw drop. I have very dry skin and this moisturizes my skin beautifully. I swear this product is magic?? it made my skin the smoothest its ever been. it goes in deep and evens everything out. do yourself a favor and just buy this. its the best facial moisturizer i have ever put on my face. ever.",1
Positive,P4L1I1,Product,1048,1012,4.457061069,4.458003953,P4L2I10,Skin_type,331,322,4.486404834,4.48447205,P4L3I59,dry skin,ery dry skin,120,117,4.384615385,4.366666667,P4L4I605,my dry skin,P4R144,5,2022-03-02 00:00:00,P+,"Real Moisture

This product is great on my skin. I’ve been using it on my face and it has a nice cooling affect during application. It’s the only product that has really made my dry skin feel moisturized, especially during the winter months. My skin is sensitive and I haven’t noticed any breakouts since using this product.",2
Positive,P4L1I1,Product,1048,1012,4.457061069,4.458003953,P4L2I10,Skin_type,331,322,4.486404834,4.48447205,P4L3I58,skin sensitive,sensitive skin,74,70,4.585714286,4.608108108,P4L4I16,sensitive skin,P4R1,1,2022-11-18 00:00:00,P+,"Disastrous formula change.

I've been using this FAB cream for almost a decade. I have spent thousands of dollars on just this one cream - I've got a whole family with sensitive skin and we live in an area with very harsh winters. We've bought uncounted tubes and tubs of this stuff (as well as now-discontinued fragrances, rip coconut lime). This used to be the absolute best cream you could buy for a variety of concerns - dry skin, acne, eczema, flakiness, EVERYTHING. The scent was pleasant and the texture, once it sunk in, left your skin actually soft but never greasy and weird. Holy Grail, totally deserving of every accolade it received. 

Welp. Over the last year that's almost all changed. The fragrance is more or less the same, but I suddenly noticed my hands and face weren't staying as nice as they used to. My family agrees: the cream isn't soothing eczema or flakiness anymore, nor helping prevent dryness. The texture is no longer thick and luscious but feels watery and insubstantial when applied. Once it's rubbed in, skin now seems mildly tacky, not soft or moisturized. Any sensation of moisture wears off quickly. 

I can't tell what they've done to the formula besides the addition of eucalyptus, but it is a catastrophic change. This product used to be five stars, now it's one. A pump bottle of any drugstore brand with oatmeal will serve you much better. I also want to note they have raised the price on the 8oz tube by TWELVE DOLLARS over the last six years - and I'd still be willing to pay if it wasn't worse than a drugstore product. But as it stands I'm heartbroken. Don't waste your money.",0
Positive,P4L1I1,Product,1048,1012,4.457061069,4.458003953,P4L2I10,Skin_type,331,322,4.486404834,4.48447205,P4L3I58,skin sensitive,sensitive skin,74,70,4.585714286,4.608108108,P4L4I16,sensitive skin,P4R424,5,2021-02-06 00:00:00,P+,"Helps with rashes!!!!

I recently tried this product after breaking out in an unexpected rash from a new toner I tried. Within 4-5 days after using it in the day & at night, the rash disappeared and my skin went back to normal! I struggle with acne prone/sensitive skin and this didn’t bother me at all! I definitely recommend it!",0
Positive,P4L1I1,Product,1048,1012,4.457061069,4.458003953,P4L2I10,Skin_type,331,322,4.486404834,4.48447205,P4L3I58,skin sensitive,sensitive skin,74,70,4.585714286,4.608108108,P4L4I16,sensitive skin,P4R24,5,2022-09-11 00:00:00,P+,"sensitive skin is tough to manage

It works really well for my sensitive skin, it's not perfect but it works good enough. I like that it doesn't have a fragrance and soaks in, but my skin is still dry after use so I mix in a little q10 or rosehip for some added moisture and that helps.",0
Positive,P4L1I1,Product,1048,1012,4.457061069,4.458003953,P4L2I10,Skin_type,331,322,4.486404834,4.48447205,P4L3I58,skin sensitive,sensitive skin,74,70,4.585714286,4.608108108,P4L4I16,sensitive skin,P4R404,5,2021-03-03 00:00:00,P+,"a little goes a long way

I think that this is a nice product. It has a whipped texture, so you only need a little bit for a lot of moisture. It’s very gentle and the unscented. It absorbs very quickly, but doesn’t really leave me feeling super moisturized. The only other problem I have with this product is that it tends to pill around the edges of my face into these little chunks which isn’t pleasant to peel off. But all in all, not a bad product. Good for sensitive skin.",0
Positive,P4L1I1,Product,1048,1012,4.457061069,4.458003953,P4L2I10,Skin_type,331,322,4.486404834,4.48447205,P4L3I58,skin sensitive,sensitive skin,74,70,4.585714286,4.608108108,P4L4I16,sensitive skin,P4R62,5,2022-06-18 00:00:00,P+,"not what I expected

Good consistency. Doesn’t irritate my sensitive skin. But my god the pilling is HORRIBLE. You can’t layer this with anything. I hate that I can feel a layer of this sitting on top of my skin and it doesn’t actually moisturize as much as I thought it would given how thick it is. Returning this ASAP.",0
